input bits,output bits,mean,standard deviation,min error,max error
7,21,-5.21541e-08,0.00589274,-0.0170093,0.0170093
7,22,-1.11759e-08,0.00589283,-0.0170093,0.0170093
7,23,-2.98023e-08,0.00589288,-0.0170079,0.0170074
7,24,-1.21072e-08,0.0058929,-0.0170074,0.0170077
7,25,-6.98492e-09,0.00589287,-0.0170073,0.0170074
7,26,-3.25963e-09,0.00589288,-0.0170074,0.0170074
7,27,-1.62981e-09,0.00589288,-0.0170074,0.0170074
7,28,-6.98492e-10,0.00589288,-0.0170073,0.0170074
7,29,-1.16415e-10,0.00589288,-0.0170073,0.0170073
7,30,-2.03727e-10,0.00589288,-0.0170073,0.0170073
7,31,-1.45519e-11,0.00589288,-0.0170073,0.0170073
7,32,-5.45697e-11,0.00589288,-0.0170073,0.0170073
8,4,-0.00683594,0.230414,-0.594854,0.594854
8,5,-0.0146484,0.113554,-0.311318,0.25271
8,6,-0.00390625,0.0618182,-0.144607,0.1875
8,7,-0.003479,0.0403481,-0.113357,0.113357
8,8,-0.00134277,0.0200984,-0.0613183,0.0670604
8,9,-0.000320435,0.0108587,-0.0324317,0.0358104
8,10,-0.000213623,0.00681394,-0.0223338,0.0240917
8,11,-0.000164032,0.00451852,-0.0158472,0.0162792
8,12,-4.3869e-05,0.00384455,-0.0125841,0.0125841
8,13,-1.90735e-05,0.00370182,-0.0130724,0.0130724
8,14,-2.19345e-05,0.0036781,-0.0125841,0.0125841
8,15,-4.05312e-06,0.00367737,-0.0127062,0.0127062
8,16,-3.45707e-06,0.00366843,-0.0125841,0.0125841
8,17,-3.39746e-06,0.00366729,-0.0126452,0.0126452
8,18,-8.34465e-07,0.00366487,-0.0125994,0.0125841
8,19,-5.96046e-08,0.00366615,-0.0125917,0.0125994
8,20,-1.93715e-07,0.00366576,-0.0125917,0.0125917
8,21,-2.6077e-08,0.00366534,-0.0125917,0.0125937
8,22,-9.31323e-09,0.00366532,-0.0125917,0.0125917
8,23,-2.51457e-08,0.00366525,-0.0125903,0.0125903
8,24,-1.07102e-08,0.00366527,-0.0125903,0.0125903
8,25,-5.12227e-09,0.00366524,-0.01259,0.01259
8,26,3.49246e-10,0.00366524,-0.01259,0.01259
8,27,-1.97906e-09,0.00366524,-0.01259,0.01259
8,28,-6.40284e-10,0.00366524,-0.01259,0.01259
8,29,-3.7835e-10,0.00366524,-0.01259,0.01259
8,30,-1.96451e-10,0.00366524,-0.01259,0.01259
8,31,-1.0914e-11,0.00366524,-0.01259,0.01259
8,32,-1.81901e-12,0.00366524,-0.01259,0.01259
9,4,-0.0065918,0.229279,-0.588225,0.588225
9,5,-0.0141602,0.112991,-0.29969,0.25271
9,6,-0.00408936,0.0606548,-0.144607,0.187575
9,7,-0.00357056,0.0384732,-0.0949317,0.0928864
9,8,-0.00140381,0.0197287,-0.0563945,0.0548277
9,9,-0.000305176,0.011121,-0.0324317,0.0324317
9,10,-0.000198364,0.00633472,-0.0177574,0.0172705
9,11,-0.000148773,0.00339862,-0.00958071,0.00943154
9,12,-3.91006e-05,0.00240523,-0.00665102,0.00744016
9,13,-1.7643e-05,0.00215423,-0.00708467,0.00665102
9,14,-2.02656e-05,0.00201339,-0.00684053,0.00684053
9,15,-4.17233e-06,0.00197353,-0.00684053,0.00684053
9,16,-3.09944e-06,0.00198057,-0.00677949,0.00684053
9,17,-1.04308e-06,0.00198243,-0.00677949,0.00677949
9,18,-8.34465e-07,0.00198049,-0.00674898,0.00674898
9,19,-1.19209e-07,0.00197989,-0.00674135,0.00674135
9,20,-2.38419e-07,0.00197985,-0.00674135,0.00673753
9,21,-4.28408e-08,0.00198024,-0.00674135,0.00674135
9,22,-4.93601e-08,0.00198016,-0.00674325,0.00674325
9,23,-9.77889e-09,0.00198007,-0.00674325,0.00674325
9,24,-1.11759e-08,0.00198009,-0.00674325,0.00674349
9,25,-6.51926e-09,0.00198008,-0.00674349,0.00674349
9,26,-2.56114e-09,0.00198008,-0.00674337,0.00674331
9,27,-6.69388e-10,0.00198008,-0.00674337,0.00674334
9,28,-5.52973e-10,0.00198008,-0.00674336,0.00674336
9,29,-2.25555e-10,0.00198008,-0.00674335,0.00674335
9,30,-2.14641e-10,0.00198008,-0.00674335,0.00674335
9,31,-1.18234e-10,0.00198008,-0.00674335,0.00674335
9,32,-6.54836e-11,0.00198008,-0.00674335,0.00674335
10,4,-0.00671387,0.229799,-0.591555,0.591555
10,5,-0.0144043,0.113466,-0.305498,0.25271
10,6,-0.00393677,0.0609025,-0.144607,0.187575
10,7,-0.00344849,0.0387135,-0.0949317,0.0928864
10,8,-0.00141907,0.0197832,-0.0624668,0.0609426
10,9,-0.000312805,0.0107998,-0.0324317,0.0324317
10,10,-0.000213623,0.00608714,-0.0188047,0.0188047
10,11,-0.000164986,0.00311421,-0.00983287,0.0101613
10,12,-3.67165e-05,0.00178281,-0.00578384,0.00578384
10,13,-1.71661e-05,0.00121015,-0.00402123,0.00402123
10,14,-2.19345e-05,0.00106642,-0.00353295,0.00353295
10,15,-4.64916e-06,0.00100627,-0.00330136,0.00330136
10,16,-3.36766e-06,0.000985858,-0.0033624,0.00330136
10,17,-1.07288e-06,0.000980278,-0.00342343,0.00339291
10,18,-8.19564e-07,0.000979272,-0.00339291,0.00339291
10,19,-1.08033e-07,0.000978421,-0.00338528,0.00338528
10,20,-2.34693e-07,0.000978106,-0.00338528,0.00338528
10,21,-1.15484e-07,0.00097822,-0.00338528,0.00338528
10,22,-5.12227e-08,0.000978252,-0.00338242,0.00338242
10,23,-1.72295e-08,0.000978198,-0.00338195,0.00338195
10,24,-8.73115e-09,0.00097822,-0.00338242,0.00338242
10,25,-5.82077e-10,0.000978211,-0.00338218,0.00338218
10,26,-1.30967e-09,0.000978218,-0.00338224,0.00338224
10,27,-1.03319e-09,0.000978215,-0.00338215,0.00338218
10,28,-9.74978e-10,0.000978215,-0.00338217,0.00338217
10,29,-3.09228e-10,0.000978214,-0.00338218,0.00338217
10,30,-1.63709e-11,0.000978214,-0.00338217,0.00338216
10,31,-4.27463e-11,0.000978214,-0.00338217,0.00338217
10,32,-1.22782e-11,0.000978214,-0.00338217,0.00338217
11,4,-0.00665283,0.230149,-0.593208,0.593208
11,5,-0.0143738,0.113442,-0.308407,0.25294
11,6,-0.00393677,0.0610587,-0.144607,0.187575
11,7,-0.00348663,0.0388099,-0.113357,0.113357
11,8,-0.00141907,0.0197169,-0.0624668,0.0640011
11,9,-0.000307083,0.0109269,-0.0325875,0.0327511
11,10,-0.000208855,0.00619946,-0.0188047,0.0210324
11,11,-0.000161171,0.00309567,-0.0107524,0.0132199
11,12,-3.62396e-05,0.00172553,-0.00631136,0.00638395
11,13,-1.52588e-05,0.00105311,-0.00366952,0.00329357
11,14,-2.07424e-05,0.00072717,-0.00233597,0.00233597
11,15,-4.38094e-06,0.000636763,-0.00231402,0.00231402
11,16,-3.41237e-06,0.000605756,-0.00214364,0.00208261
11,17,-1.06543e-06,0.000600391,-0.00211312,0.00211312
11,18,-8.04663e-07,0.000598038,-0.00212838,0.00212838
11,19,-1.13621e-07,0.000598692,-0.00213601,0.00213601
11,20,-2.32831e-07,0.000598608,-0.00212838,0.00212838
11,21,-1.13621e-07,0.000598503,-0.00212647,0.00212647
11,22,-5.19212e-08,0.000598522,-0.00212647,0.00212647
11,23,-1.68802e-08,0.000598591,-0.00212743,0.00212743
11,24,-8.49832e-09,0.000598577,-0.00212671,0.00212671
11,25,-1.03901e-08,0.000598579,-0.00212671,0.00212671
11,26,-5.38421e-10,0.000598591,-0.00212671,0.00212677
11,27,-1.45519e-10,0.00059859,-0.00212671,0.00212671
11,28,-7.27598e-12,0.00059859,-0.00212662,0.00212662
11,29,-5.45699e-12,0.000598589,-0.00212659,0.00212659
11,30,-8.4583e-11,0.00059859,-0.00212659,0.00212659
11,31,-5.72982e-11,0.00059859,-0.00212659,0.00212659
11,32,-2.38743e-11,0.00059859,-0.00212659,0.00212659
12,4,-0.00668335,0.229975,-0.593208,0.593208
12,5,-0.014389,0.113419,-0.308407,0.25294
12,6,-0.00393677,0.060954,-0.144607,0.187595
12,7,-0.00347137,0.0387631,-0.113357,0.113357
12,8,-0.00142097,0.0196809,-0.0639857,0.0640011
12,9,-0.00031662,0.0108301,-0.0338879,0.0338879
12,10,-0.000211716,0.00611936,-0.0188047,0.0210324
12,11,-0.000162363,0.00307328,-0.0113357,0.0132199
12,12,-3.68357e-05,0.00162401,-0.00631136,0.00638395
12,13,-1.69873e-05,0.000904566,-0.00353562,0.00353562
12,14,-2.13683e-05,0.00052176,-0.00195843,0.00195843
12,15,-4.47035e-06,0.000375275,-0.00141288,0.00141288
12,16,-3.49432e-06,0.000322213,-0.00129081,0.00122977
12,17,-1.09524e-06,0.000308673,-0.00122977,0.00122977
12,18,-8.15839e-07,0.000305873,-0.00119954,0.00119954
12,19,-1.16415e-07,0.00030543,-0.00123006,0.00123006
12,20,-2.37487e-07,0.000305099,-0.00123388,0.00123006
12,21,-1.13854e-07,0.000304721,-0.00123006,0.00123006
12,22,-5.22705e-08,0.000304786,-0.00122815,0.00122815
12,23,-1.73459e-08,0.000304742,-0.00122768,0.0012272
12,24,-2.45927e-08,0.000304702,-0.00122696,0.00122696
12,25,-1.04483e-08,0.00030471,-0.00122708,0.00122708
12,26,-5.45697e-10,0.000304704,-0.00122708,0.00122708
12,27,-1.30967e-10,0.000304704,-0.00122705,0.00122705
12,28,-1.25146e-09,0.000304705,-0.00122704,0.00122704
12,29,-2.51021e-10,0.000304705,-0.00122701,0.00122701
12,30,-6.27552e-11,0.000304705,-0.001227,0.001227
12,31,-1.59164e-12,0.000304705,-0.001227,0.001227
